name;planet_mass;planet_radius;planet_luminosity;star_planet_distance;planet_rotation_rate;planet_orbital_period;star_mass;star_radius;star_age;earth_distance;star_magfield;star_rotperiod;star_luminosity;spectral_type;spectral_type_code;dynamo_density;dynamo_radius;B_dyn;B_eq;magnetic_moment;standoff_distance;sw_density;sw_velocity;coronal_temperature;sw_magfield;alfven_velocity;magnetic_field_planet;freq_max_planet;pow_emission_kinetic;pow_emission_magnetic;pow_emission_spi;flux_kinetic_au;flux_magnetic_au;flux_spi_au;pow_received_kinetic;pow_received_magnetic;pow_received_spi;star_magnetic_field;freq_max_star
;MJ;RJ;LS;AU;wJ;w_orb_J;MS;RS;yr;pc;T;days;LS;;;rho_dyn_J;r_dyn_J;T;T;MmagJ;Rp;m-3;m.s-1;K;T;m.s-1;T;MHz;10^14W;10^14W;10^14W;10^10Jy;10^10Jy;10^10Jy;mJy;mJy;mJy;T;MHz
BD-11 4672 c;0.055841318036020604;0.31649248169584376;8.361785715021772e-12;0.18;0.011130451980998523;0.011130451980998523;0.571;0.52;4400000000.0;27.3;0.0001480093127918652;24.72310647875069;0.05690938421915371;K7V;1;1.5275332240903021;0.3393854415785886;0.010296793694758716;-0.03110404518568171;0.0007281371896535153;4.857985426885854;81631872.6661571;321458.0724947977;735666.6666666666;9.543996941466053e-11;9878.131051301934;1.961124990225137e-05;0.5489675912556959;0.0002955508902626566;8.204311610143049e-08;;0.15035392118226665;4.1737327202430166e-05;;0.04741748523323808;1.3162803342500915e-05;;0.0001480093127918652;4.1431482609088235
BD-17 63 b;5.888972745734182;1.0488775848331189;3.850927689289e-08;0.6164;1.0;0.0019995184631679103;0.74;0.69;4300000000.0;34.6;0.00015039628319868552;24.330720960476384;0.163893058753532;K5V;1;3.8084028907087033;1.1954924942934124;0.09202019042029554;0.029797071397293085;3.645737802111879;33.03963930742423;10098267.618126744;406803.4894787973;790245.283018868;3.4921851945238475e-09;1027657.0374092165;0.002697697641482493;75.51525698577751;0.03764275325470099;0.07061832686313567;0.07061832686313567;0.1392117424990063;0.2611631585092352;46.845521828603296;0.027332082616897853;0.05127536583284529;9.197397072019381;0.00015039628319868552;4.209965490874382
CoRoT-1 b;1.03;1.49;5.242434464156287e-10;0.0254;0.2708412014130123;0.2708412014130123;0.95;1.11;5200000000.0;460.0;0.0001317571641956712;27.77268334772055;0.543613382537878;G0V;1;0.4994209834321086;0.9928585136670393;0.010909384492730496;0.0022451167733279066;0.23846238696817332;2.7750333938891933;51866404325.13738;198173.9103539074;739645.1612903225;3.3670066153564896e-06;13825322.502828835;6.155216534023076e-05;1.7229979788039775;0.31819608714701025;455.2619972649151;455.2619972649151;51.575002784436734;73791.41266981745;344726.6993843685;0.05728918573863048;81.96703282840689;382.92022964379964;0.0001317571641956712;3.6882102578722082
CoRoT-10 b;2.75;0.97;1.1864643258945624e-08;0.049585;0.09611098559341374;0.09611098559341374;0.89;0.79;3000000000.0;345.0;0.00019315301653168702;18.944824500836592;0.39552122222689295;K1V;1;2.384393139671953;1.080978312114702;0.05997086890180951;0.017508800092095052;0.3023788784295648;5.760614771837014;8120806701.45744;263727.95139783376;1046000.0;6.238568694638953e-07;6473806.984438502;0.0002828905910033948;7.918810229133112;0.21444162300126;37.98614636872279;37.98614636872279;7.562725604936413;1339.659706706819;19620.56472007285;0.014934449067027998;2.645485331889266;38.745597789107954;0.00019315301653168702;5.406832647469301
CoRoT-11 b;2.33;1.43;1.4415762682786893e-08;0.04351;0.13967598394492342;0.13967598394492342;1.27;1.36;2000000000.0;560.0;0.00025578906313991113;14.305732837367126;2.174678409289415;F6V;1;0.8567674742807919;1.3719754752986641;0.039580399367168874;0.011148813969104998;0.565659541941665;3.1980029144510618;71021903712.10458;301908.5189268876;1481000.0;1.2216548716835905e-06;4286736.101226588;0.00016516927369534444;4.623498185068603;1.8845535828206916;111.69152798285444;111.69152798285444;113.83268816665506;6746.503252350984;43563.826713129834;0.08531786728151221;5.056520041551484;32.65119049410589;0.00025578906313991113;7.160171154891455
CoRoT-12 b;0.917;1.44;3.1145888440634956e-10;0.0373488;0.16180722331959113;0.16180722331959113;1.078;1.116;6300000000.0;1150.0;0.0001152652363282875;31.746345355837136;1.002886665011921;G2V;1;0.49605344549659597;0.9497977357594931;0.00936064791887761;0.0017890180215082532;0.1339010516744655;3.0373892200022854;13301693338.174026;184513.88616768728;674150.6849315069;1.2727084230902247e-06;10319290.169118194;3.828941804998281e-05;1.0718159068009414;0.07370216921996213;67.76895491548473;67.76895491548473;19.203892466713253;17657.929699388245;58657.048186796426;0.0034130498979236847;3.138290597205964;10.4249402913218;0.0001152652363282875;3.2265602375192994
CoRoT-13 b;1.308;0.885;5.203780788697489e-09;0.051;0.10196743358743587;0.10196743358743587;1.09;1.01;1640000000.0;1310.0;0.0002933391671391164;12.474467817196047;1.0575932104958992;G0V;1;1.6138562348477838;0.9548523493622245;0.044803041075849204;0.01043196338643203;0.16907685279153614;3.7108437258928566;34560819999.3451;357443.4877556656;1636636.3636363635;6.984080953772439e-07;3513108.941599866;0.00020827473812979336;5.830127191301446;0.7848711579359438;22.288241641015773;22.288241641015773;37.596683281599724;1067.645247768707;7580.424276894795;0.005149392491406038;0.14622897400729418;1.038245303734495;0.0002933391671391164;8.211291825251081
CoRoT-14 b;7.6;1.09;6.72310397909574e-08;0.027;0.2695237741076446;0.2695237741076446;1.13;1.21;4200000000.0;1340.0;0.00015287894758857335;23.93560433087063;1.2562636974548727;F9V;1;4.328900870429706;1.2476763910729947;0.11054225368941677;0.03651816827365327;1.5556281665313885;6.501448650814799;74151738652.35825;214123.26201078092;885307.6923076923;3.378003426434673e-06;11600422.00186209;0.0010256721376758423;28.711110492419373;1.6855686815526554;1454.3713437185143;1454.3713437185143;16.395537394732685;14146.679404246885;949107.456221999;0.002146174903960929;1.8517995220778563;124.23811154614863;0.00015287894758857335;4.279461433091536
CoRoT-16 b;0.535;1.17;1.0566923064905117e-10;0.041406;0.13989743674600788;0.13989743674600788;1.098;1.19;6730000000.0;840.0;0.00011007908328151546;33.24201011596236;1.0952929069599775;G5V;1;0.517173667969653;0.8179471354347484;0.007603706195340653;0.0008536848639420016;0.0719990813626262;3.1982629613104683;10246047779.753487;180367.59035713287;648717.9818887452;9.658704527784232e-07;8923085.699767962;3.838412315000819e-05;1.0744669377601967;0.038814343054654414;27.92636064025108;27.92636064025108;10.08854131340218;7258.560132150872;25310.300349403777;0.003360615743073953;2.41791461167432;8.431168706534457;0.00011007908328151546;3.0813869334127117
CoRoT-17 b;2.43;1.02;1.2940585705414398e-09;0.0461;0.1158960902886772;0.1158960902886772;1.04;1.59;10700000000.0;920.0;7.96479194358343e-05;45.94281967337455;0.8436785334661725;G2V;1;1.8900516738777886;1.1173391786088285;0.0264699127894045;0.007528596363250034;0.35191706132340805;6.940938233220488;7075742866.042076;157256.15262354477;477692.3076923077;5.982606309190069e-07;6650874.844237488;0.0002831535827064787;7.926172020068509;0.06359046139863293;33.43822496086938;33.43822496086938;2.2405656621274868;1178.1725906997235;41884.80910313762;0.0006222015290707511;0.3271766589275283;11.631345025641078;7.96479194358343e-05;2.2295430785468784
